account_id,contact_id,insurance_type
90130534,4881864,Health Insurance
74060370,51735596,Car Insurance
56792585,83906813,Health Insurance
29373862,69207015,Health Insurance
48477609,12754201,Car Insurance
24467021,53558512,Car Insurance
72390176,36764787,House Insurance
79124894,97668842,Car Insurance
67191011,76345292,Car Insurance
61087832,3600478,Car Insurance
98848975,13372719,Health Insurance
10442644,23432340,House Insurance
75816501,95211470,Health Insurance
36436647,18235114,Car Insurance
70741281,56749762,Car Insurance
6086191,86010483,Car Insurance
74865819,40519660,Car Insurance
48877656,74003364,House Insurance
58508683,1677130,House Insurance
62739182,90256372,Car Insurance
13981469,8328414,Health Insurance
23013414,44106988,Car Insurance
21927040,34883927,House Insurance
38440238,4046484,Car Insurance
30097246,44870447,Car Insurance
30136412,95301785,Health Insurance
63484101,60346058,Health Insurance
90005867,24986278,Car Insurance
91482691,31955921,Car Insurance
64665395,40395466,Health Insurance
94148148,7216396,House Insurance
11635131,32340267,House Insurance
41641165,35006144,Health Insurance
42044772,35981715,Car Insurance
89595932,14920346,Car Insurance
44744971,34695281,Health Insurance
10733555,1720377,House Insurance
62496299,4815354,Health Insurance
92437887,6203921,Car Insurance
32244046,29034525,Health Insurance
78552832,83264410,Health Insurance
11527617,17639509,House Insurance
42274700,42500976,Car Insurance
67205285,55289642,House Insurance
12708552,50199349,House Insurance
32784795,43314822,Car Insurance
99945066,54633399,Health Insurance
85386408,26080871,Health Insurance
23793233,62544869,House Insurance
25129075,91428232,Car Insurance
45695798,8743210,House Insurance
19046920,33474572,Car Insurance
48754420,48755995,House Insurance
90090640,41540539,Car Insurance
41006519,18337865,Health Insurance
19558849,49213750,Car Insurance
11041945,27487754,House Insurance
78057184,86936281,House Insurance
86202730,88672003,Car Insurance
13292973,57194717,House Insurance
58896445,71580039,Health Insurance
16963956,24809076,Car Insurance
86187082,59999308,House Insurance
50368865,81755683,Health Insurance
61821905,7221441,Car Insurance
67405770,48903484,House Insurance
50311172,53543820,House Insurance
